"id";"name";"workPhone";"mobilePhone";"fax";"shipAddress";"pocNumber";"pocName";"paymentTerms";"notes";"email";"billAddress";"fuelSurchargeFee";"number";"afe";"active"
4;"4T CONSTRUCTION";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
5;"ABRAXAS PETROLEUM";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
6;"AMEREDEV";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
7;"ANADARKO PETROLEUM CORPORATION";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
12;"BJ SERVICES";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
15;"BTA OIL PRODUCERS, LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
16;"C&J ENERGY SERVICES";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
17;"CALFRAC WELL SERVICES CORP.";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
18;"CAPITAN ENERGY INC.";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
19;"CARRIZO OIL & GAS";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
20;"CASED HOLE SOLUTIONS";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
21;"CENTENNIAL RESOURCE PRODUCTION LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
22;"CHESAPEAKE ENERGY";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
23;"CHEVRON";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
24;"CHISHOLM ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
25;"CLEAN SLURRY TECHNOLOGY";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
26;"CONOCO-PHILLIPS";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
27;"CONTINENTAL RESOURCES, INC.";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
28;"CRESCENT POINT ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
29;"CRESTONE PEAK RESOURCES OPERATING LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
30;"CROWNQUEST OPERATING LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
31;"CUDD";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
32;"DIAMONDBACK E & P LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
33;"ELEVATION RESOURCES";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
34;"ELK MEADOWS";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
35;"ENCANA OIL & GAS INC.";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
36;"ENDEAVOR ENERGY RESOURCES LP";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
37;"ENSIGN DRILLING";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
38;"EOG RESOURCES";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
