"id";"name";"marketId";"marketTaxName"
10;"EXCISE TAX";2;""
12;"FEDERAL ENVIRONMENTAL RECOVERY FEE TAX";2;""
13;"FEDERAL EXCISE TAX GASOLINE";2;""
14;"FEDERAL LUST TAX";2;""
15;"FEDERAL SPILL FEE GASOLINE";2;""
16;"FEDERAL TAX";2;""
17;"SALES TAX";2;""
18;"STATE EXCISE TAX";2;""
19;"STATE TAX";2;""
20;"EXCISE TAX";5;""
21;"FEDERAL ENVIRONMENTAL RECOVERY FEE TAX";5;""
22;"FEDERAL EXCISE TAX GASOLINE";5;""
23;"FEDERAL LUST TAX";5;""
24;"FEDERAL SPILL FEE GASOLINE";5;""
25;"FEDERAL TAX";5;""
26;"SALES TAX";5;""
27;"STATE EXCISE TAX";5;""
28;"STATE ERS FEE";5;""
29;"EXCISE TAX";3;""
30;"FEDERAL ENVIRONMENTAL RECOVERY FEE TAX";3;""
31;"FEDERAL EXCISE TAX GASOLINE";3;""
32;"FEDERAL LUST TAX";3;""
33;"FEDERAL TAX";3;""
34;"SALES TAX";3;""
35;"STATE TAX";3;""
36;"CITY TAX";3;""
37;"EXCISE TAX";6;""
38;"FEDERAL ENVIRONMENTAL RECOVERY FEE TAX";6;""
39;"FEDERAL EXCISE TAX GASOLINE";6;""
40;"FEDERAL LUST TAX";6;""
41;"FEDERAL SPILL FEE GASOLINE";6;""
43;"FEDERAL TAX";6;""
44;"SALES TAX";6;""
45;"STATE EXCISE TAX";6;""
47;"EXCISE TAX";8;""
48;"FEDERAL ENVIRONMENTAL RECOVERY FEE TAX";8;""
49;"FEDERAL EXCISE TAX GASOLINE";8;""
52;"FEDERAL LUST TAX";8;""
53;"FEDERAL SPILL FEE GASOLINE";8;""
54;"FEDERAL TAX";8;""
55;"SALES TAX";8;""
56;"STATE EXCISE TAX";8;""
57;"STATE TAX";8;""
